lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
226	1	2022.021917808219	2021.984274927384	nonENG	2022.021917808219	2022.021917808219
227	1	2022.0438356164384	2021.9795889961345	nonENG	2022.0438356164384	2022.0438356164384
228	1	2022.0301369863012	2021.978408215417	nonENG	2022.0301369863012	2022.0301369863012
229	1	2022.021917808219	2021.9857243696251	nonENG	2022.021917808219	2022.021917808219
230	1	2021.9698630136984	2021.9616949282615	nonENG	2021.9698630136984	2021.9698630136984
231	1	2021.9890410958903	2021.9816762316004	nonENG	2021.9890410958903	2021.9890410958903
232	4	2021.972812314592	2021.9470053587036	nonENG	2021.9945205479453	2022.0712328767124
233	1	2022.0712328767124	2022.0139520813077	nonENG	2022.0712328767124	2022.0712328767124
234	1	2022.054794520548	2021.9934495467776	nonENG	2022.054794520548	2022.054794520548
235	1	2022.0712328767124	2021.982083499114	nonENG	2022.0712328767124	2022.0712328767124
236	1	2022.027397260274	2021.9739073834928	nonENG	2022.027397260274	2022.027397260274
237	3	2022.025510749943	2021.9564039059533	nonENG	2022.0712328767124	2022.0712328767124
238	1	2022.0794520547945	2022.0132042381324	nonENG	2022.0794520547945	2022.0794520547945
239	1	2022.0684931506848	2022.0249895010315	nonENG	2022.0684931506848	2022.0684931506848
240	1	2022.0712328767124	2022.035597193248	nonENG	2022.0712328767124	2022.0712328767124
241	1	2022.0520547945205	2021.9705713765404	nonENG	2022.0520547945205	2022.0520547945205
242	7	2021.977697703248	2021.9472812465588	nonENG	2022.0027397260276	2022.0657534246573
243	30	2021.9468320380488	2021.937768633853	nonENG	2021.9616438356163	2022.0794520547945
244	1	2022.0082191780823	2022.004031709112	nonENG	2022.0082191780823	2022.0082191780823
245	1	2022.06301369863	2021.9590984844624	nonENG	2022.06301369863	2022.06301369863
246	1	2021.9917808219177	2021.9878860223896	nonENG	2021.9917808219177	2021.9917808219177
247	7	2021.9456587227523	2021.9335674510776	nonENG	2021.9479452054795	2022.0657534246573
248	1	2022.0082191780823	2021.973720311939	nonENG	2022.0082191780823	2022.0082191780823
249	8	2021.9437186103496	2021.9237944606768	nonENG	2021.9506849315069	2022.0684931506848
250	4	2021.9722048696397	2021.9592521234813	nonENG	2021.9972602739729	2022.049315068493
251	1	2022.06301369863	2022.0068733060284	nonENG	2022.06301369863	2022.06301369863
252	1	2022.0054794520547	2022.0044169168104	nonENG	2022.0054794520547	2022.0054794520547
253	2	2022.015299826416	2021.9906995975412	nonENG	2022.024657534247	2022.0328767123287
254	1	2021.9671232876717	2021.9595490429567	nonENG	2021.9671232876717	2021.9671232876717
255	1	2022.024657534247	2021.9745642544085	nonENG	2022.024657534247	2022.024657534247
256	1	2022.0054794520547	2021.9802617413736	nonENG	2022.0054794520547	2022.0054794520547
257	2	2022.0292492638223	2021.981010202564	nonENG	2022.035616438356	2022.049315068493
258	1	2022.0767123287671	2021.984410502737	nonENG	2022.0767123287671	2022.0767123287671
259	3	2021.977740766578	2021.951182524288	nonENG	2021.9945205479453	2022.054794520548
260	1	2022.024657534247	2021.9662435337912	nonENG	2022.024657534247	2022.024657534247
261	1	2022.019178082192	2021.999893225061	nonENG	2022.019178082192	2022.019178082192
262	2	2022.033040754054	2021.9670497638776	nonENG	2022.049315068493	2022.054794520548
263	1	2021.9428353355893	2021.9404967847004	nonENG	2021.9616438356163	2021.9616438356163
264	1	2022.0794520547945	2022.0031481781016	nonENG	2022.0794520547945	2022.0794520547945
265	1	2022.041095890411	2021.9935376518536	nonENG	2022.041095890411	2022.041095890411
266	1	2022.0684931506848	2021.9909561737295	nonENG	2022.0684931506848	2022.0684931506848
267	1	2021.94781978782	2021.946520427893	nonENG	2021.9671232876717	2021.9671232876717
