lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
157	1	2022.0438356164384	2021.9925270036608	nonENG	2022.0438356164384	2022.0438356164384
158	1	2022.027397260274	2022.023880978713	nonENG	2022.027397260274	2022.027397260274
159	1	2022.0767123287671	2022.0708767533245	nonENG	2022.0767123287671	2022.0767123287671
160	1	2022.049315068493	2022.0396912174815	nonENG	2022.049315068493	2022.049315068493
161	1	2022.049315068493	2021.994320260472	nonENG	2022.049315068493	2022.049315068493
162	1	2021.9561643835616	2021.9519791799376	nonENG	2021.9561643835616	2021.9561643835616
163	1	2022.0109589041097	2021.9847698686665	nonENG	2022.0109589041097	2022.0109589041097
164	4	2021.9619201519677	2021.952287688826	nonENG	2021.9945205479453	2022.0438356164384
165	1	2022.0712328767124	2022.0671147474964	nonENG+ENG	2022.0712328767124	2022.0712328767124
166	1	2022.0520547945205	2022.0272228478225	nonENG	2022.0520547945205	2022.0520547945205
167	1	2022.0054794520547	2022.0008797426456	nonENG	2022.0054794520547	2022.0054794520547
168	1	2021.975342465753	2021.954230544676	nonENG	2021.975342465753	2021.975342465753
169	2	2022.017480706305	2021.9800603808424	nonENG	2022.024657534247	2022.0794520547945
170	1	2021.9616438356163	2021.9525974966507	nonENG	2021.9616438356163	2021.9616438356163
171	1	2021.986301369863	2021.9833608049496	nonENG	2021.986301369863	2021.986301369863
172	1	2022.054794520548	2022.052154483683	nonENG	2022.054794520548	2022.054794520548
173	1	2022.0328767123287	2021.993012131132	nonENG	2022.0328767123287	2022.0328767123287
174	1	2021.9890410958903	2021.9838058956443	nonENG	2021.9890410958903	2021.9890410958903
175	11351	2021.867116048033	2021.8603271330555	nonENG	2021.904109589041	2022.0821917808216
176	1	2022.0253330628643	2022.010669212156	nonENG	2022.027397260274	2022.027397260274
177	1	2022.0328767123287	2021.971881619692	nonENG	2022.0328767123287	2022.0328767123287
178	1	2021.9945205479453	2021.9600519293665	nonENG	2021.9945205479453	2021.9945205479453
179	2	2021.9846104840708	2021.9794514068424	nonENG	2021.9945205479453	2022.021917808219
180	1	2022.0328767123287	2021.982267737972	nonENG	2022.0328767123287	2022.0328767123287
181	1	2022.027397260274	2021.9833746384868	nonENG	2022.027397260274	2022.027397260274
182	2	2022.0022321974516	2021.988292409467	nonENG	2022.054794520548	2022.0684931506848
183	1	2021.9908310949124	2021.9747650257768	nonENG	2022.06301369863	2022.06301369863
184	1	2022.054794520548	2022.0021370899333	nonENG	2022.054794520548	2022.054794520548
185	1	2022.0054794520547	2021.986848666308	nonENG	2022.0054794520547	2022.0054794520547
186	1	2022.0200431748317	2021.9874631596824	nonENG+ENG	2022.041095890411	2022.041095890411
187	1	2022.0794520547945	2021.996851717668	nonENG	2022.0794520547945	2022.0794520547945
188	1	2021.9945205479453	2021.98434811775	nonENG	2021.9945205479453	2021.9945205479453
189	5	2021.9890414835609	2021.9763604686684	nonENG	2022.0082191780823	2022.0657534246573
190	3	2021.9866306783572	2021.969949005748	nonENG	2022.013698630137	2022.0602739726028
191	1	2022.0684931506848	2021.993565721713	nonENG	2022.0684931506848	2022.0684931506848
192	1	2022.07397260274	2022.0282263173608	nonENG	2022.07397260274	2022.07397260274
193	7	2021.98075938195	2021.972959345783	nonENG	2022.019178082192	2022.0821917808216
194	1	2022.032221968661	2021.9771170394497	nonENG+ENG	2022.0520547945205	2022.0520547945205
195	1	2022.0054794520547	2021.972382574697	nonENG	2022.0054794520547	2022.0054794520547
196	2	2022.0554224725176	2022.0487583841937	nonENG	2022.0767123287671	2022.0794520547945
197	2	2021.9751729265708	2021.966219160997	nonENG	2022.0301369863012	2022.0767123287671
198	1	2022.054794520548	2022.0380328241547	nonENG	2022.054794520548	2022.054794520548
199	1	2022.0821917808216	2022.010486624998	nonENG	2022.0821917808216	2022.0821917808216
200	1	2022.0438356164384	2021.958661362292	nonENG	2022.0438356164384	2022.0438356164384
201	1	2022.0767123287671	2021.9953719234104	nonENG	2022.0767123287671	2022.0767123287671
202	3	2022.006439176501	2021.998209399459	nonENG	2022.035616438356	2022.0657534246573
203	1	2022.0712328767124	2021.963660690456	nonENG	2022.0712328767124	2022.0712328767124
204	2	2022.0339044293396	2022.0098327292976	nonENG	2022.0438356164384	2022.0684931506848
205	3	2022.0120215465863	2021.9820879690149	nonENG	2022.049315068493	2022.07397260274
206	1	2022.019178082192	2021.989216499244	nonENG+ENG	2022.019178082192	2022.019178082192
207	1	2022.0520547945205	2022.035217275867	nonENG	2022.0520547945205	2022.0520547945205
208	1	2022.0502058764775	2022.0446523652795	nonENG	2022.0575342465756	2022.0575342465756
209	2	2022.0300270958287	2021.9958207849795	nonENG	2022.0520547945205	2022.0520547945205
210	1	2022.054794520548	2021.9690965137884	nonENG	2022.054794520548	2022.054794520548
211	1	2021.983561643836	2021.9670905605487	nonENG	2021.983561643836	2021.983561643836
212	1	2022.054794520548	2021.9834021588524	nonENG	2022.054794520548	2022.054794520548
213	1	2022.0684931506848	2021.998822777887	nonENG	2022.0684931506848	2022.0684931506848
214	1	2022.0794520547945	2022.0462734480352	nonENG	2022.0794520547945	2022.0794520547945
215	4	2021.981439671512	2021.97694984764	nonENG	2022.021917808219	2022.0602739726028
216	1	2022.0054794520547	2021.9799343077727	nonENG	2022.0054794520547	2022.0054794520547
217	5	2022.012180364576	2022.004207847363	nonENG	2022.013698630137	2022.0712328767124
218	3	2022.0113852527977	2021.967033533236	nonENG	2022.027397260274	2022.0657534246573
219	1	2022.0383561643837	2021.9626047584895	nonENG	2022.0383561643837	2022.0383561643837
220	1	2022.027397260274	2021.965864546556	nonENG	2022.027397260274	2022.027397260274
221	1	2021.986301369863	2021.9740018898308	nonENG	2021.986301369863	2021.986301369863
222	1	2021.9945205479453	2021.986278979862	nonENG	2021.9945205479453	2021.9945205479453
223	7	2021.9690346776508	2021.964254814592	nonENG	2021.9917808219177	2022.0575342465756
224	1	2021.9890410958903	2021.982812920649	nonENG+ENG	2021.9890410958903	2021.9890410958903
225	1	2021.958904109589	2021.958814402624	nonENG	2021.958904109589	2021.958904109589
226	2	2022.0461201952603	2021.9983208991948	nonENG	2022.0684931506848	2022.07397260274
227	1	2022.0082191780823	2021.984560050684	nonENG	2022.0082191780823	2022.0082191780823
228	1	2021.9673168697343	2021.95943039884	nonENG	2021.972602739726	2021.972602739726
229	2	2022.0277159846903	2021.9800506535933	nonENG+ENG	2022.0465753424655	2022.0657534246573
230	1	2022.0054794520547	2021.983915322927	nonENG	2022.0054794520547	2022.0054794520547
231	1	2021.965731097608	2021.9555633837049	nonENG	2021.9698630136984	2021.9698630136984
232	2	2022.0592971172512	2021.9892740934024	nonENG	2022.06301369863	2022.0767123287671
233	1	2022.024657534247	2021.988285747952	nonENG	2022.024657534247	2022.024657534247
234	1	2022.0096479947288	2021.988285747952	nonENG	2022.027397260274	2022.027397260274
235	3	2021.999887278807	2021.992314635451	nonENG	2022.035616438356	2022.0520547945205
236	1	2022.06301369863	2022.0546168866524	nonENG+ENG	2022.06301369863	2022.06301369863
237	1	2022.041095890411	2022.0077015371023	nonENG	2022.041095890411	2022.041095890411
238	1	2022.035616438356	2022.0135750212423	nonENG	2022.035616438356	2022.035616438356
239	38	2021.9446791137475	2021.9445114821503	nonENG	2021.964383561644	2022.0767123287671
240	1	2022.0496061463791	2022.0331144380884	nonENG+ENG	2022.0575342465756	2022.0575342465756
241	2	2021.9540303576955	2021.9445114821503	nonENG	2021.9561643835616	2021.9698630136984
242	1	2022.0657534246573	2022.0382975333043	nonENG	2022.0657534246573	2022.0657534246573
243	1	2022.0794520547945	2022.0395743720176	nonENG	2022.0794520547945	2022.0794520547945
244	1	2022.027397260274	2022.003909962275	nonENG	2022.027397260274	2022.027397260274
245	1	2022.019178082192	2022.0018700876096	nonENG	2022.019178082192	2022.019178082192
246	1	2022.0520547945205	2021.98613618205	nonENG	2022.0520547945205	2022.0520547945205
247	1	2021.985765981575	2021.9845758937872	nonENG	2022.049315068493	2022.049315068493
248	1	2021.9480160404028	2021.9441322119744	nonENG	2021.9561643835616	2021.9561643835616
249	1	2022.0301369863012	2022.002109758709	nonENG	2022.0301369863012	2022.0301369863012
250	1	2022.054794520548	2022.022156152588	nonENG	2022.054794520548	2022.054794520548
251	1	2022.035616438356	2021.9981311707584	nonENG	2022.035616438356	2022.035616438356
252	1	2022.0520547945205	2022.0057666132616	nonENG	2022.0520547945205	2022.0520547945205
253	1	2022.027397260274	2021.993496520062	nonENG	2022.027397260274	2022.027397260274
254	1	2022.0684931506848	2022.023971310824	nonENG	2022.0684931506848	2022.0684931506848
255	1	2022.035616438356	2022.00255419292	nonENG	2022.035616438356	2022.035616438356
256	1	2022.07397260274	2021.986520490844	nonENG	2022.07397260274	2022.07397260274
257	1	2022.0328767123287	2021.993588015541	nonENG	2022.0328767123287	2022.0328767123287
258	1	2022.0657534246573	2022.0153038699032	nonENG	2022.0657534246573	2022.0657534246573
259	1	2022.0438356164384	2021.9962603061888	nonENG	2022.0438356164384	2022.0438356164384
260	1	2021.9808219178085	2021.9807357812847	nonENG	2021.9808219178085	2021.9808219178085
261	1	2021.972602739726	2021.9709274547763	nonENG	2021.972602739726	2021.972602739726
262	5	2021.9915983630196	2021.9544975210456	nonENG	2022.035616438356	2022.06301369863
263	1	2022.0082191780823	2022.0050369368728	nonENG	2022.0082191780823	2022.0082191780823
264	3	2021.98139673852	2021.980418488297	nonENG	2022.0383561643837	2022.06301369863
265	0	2021.9569930277437	2021.9491653789323	nonENG	0.0	2021.8161655762967
266	1	2022.0438356164384	2022.012741874693	nonENG	2022.0438356164384	2022.0438356164384
267	1	2022.054794520548	2021.9911230394137	nonENG	2022.054794520548	2022.054794520548
268	1	2021.972602739726	2021.9627796401949	nonENG	2021.972602739726	2021.972602739726
269	1	2022.0821917808216	2022.052471588228	nonENG	2022.0821917808216	2022.0821917808216
270	1	2022.0657534246573	2021.9780006266055	nonENG	2022.0657534246573	2022.0657534246573
271	4	2021.9840186629456	2021.9766337132075	nonENG	2021.9972602739729	2022.06301369863
272	2	2022.0182292681675	2022.0022661382957	nonENG	2022.06301369863	2022.0684931506848
273	1	2022.0684931506848	2022.0388616003013	nonENG	2022.0684931506848	2022.0684931506848
274	1	2022.06301369863	2022.0000593244563	nonENG	2022.06301369863	2022.06301369863
275	1	2022.054794520548	2022.0097146666524	nonENG	2022.054794520548	2022.054794520548
276	1	2021.986301369863	2021.9638764729343	nonENG	2021.986301369863	2021.986301369863
277	14	2021.9481691760195	2021.943130598332	nonENG	2021.9534246575345	2022.0712328767124
278	1	2022.0082191780823	2021.9730070343855	nonENG	2022.0082191780823	2022.0082191780823
279	1	2022.035616438356	2022.032395039421	nonENG	2022.035616438356	2022.035616438356
280	1	2022.0438356164384	2021.97601765043	nonENG	2022.0438356164384	2022.0438356164384
281	1	2022.019178082192	2022.0025293606984	nonENG+ENG	2022.019178082192	2022.019178082192
282	1	2022.0821917808216	2022.0646972190325	nonENG	2022.0821917808216	2022.0821917808216
283	1	2022.019178082192	2021.956605742014	nonENG	2022.019178082192	2022.019178082192
284	5	2022.0259878668676	2021.9616479558133	nonENG	2022.0465753424655	2022.06301369863
285	1	2022.041095890411	2022.003613376632	nonENG	2022.041095890411	2022.041095890411
286	1	2022.0821917808216	2021.9800079184404	nonENG	2022.0821917808216	2022.0821917808216
287	2	2022.0262900683456	2021.9998791949315	nonENG	2022.0301369863012	2022.0712328767124
288	1	2022.0712328767124	2021.9899312166208	nonENG	2022.0712328767124	2022.0712328767124
289	2	2021.984316837788	2021.968741626404	nonENG	2022.024657534247	2022.0438356164384
290	1	2022.0767123287671	2021.986198301826	nonENG	2022.0767123287671	2022.0767123287671
291	1	2022.0024392814305	2021.986198301826	nonENG	2022.019178082192	2022.019178082192
292	1	2021.9972602739729	2021.9744455190505	nonENG	2021.9972602739729	2021.9972602739729
293	1	2022.024657534247	2021.9733020189835	nonENG	2022.024657534247	2022.024657534247
294	1	2021.972602739726	2021.9634619471524	nonENG	2021.972602739726	2021.972602739726
295	1	2021.9917808219177	2021.9895410695456	nonENG	2021.9917808219177	2021.9917808219177
296	1	2022.0767123287671	2021.966737882286	nonENG	2022.0767123287671	2022.0767123287671
297	3	2021.992853859476	2021.972228971446	nonENG	2022.024657534247	2022.0520547945205
298	1	2021.9556134732784	2021.951524944088	nonENG	2021.9890410958903	2021.9890410958903
299	1	2022.0794520547945	2021.967295553724	nonENG	2022.0794520547945	2022.0794520547945
300	1	2022.0438356164384	2021.985035832803	nonENG	2022.0438356164384	2022.0438356164384
301	1	2022.0054794520547	2021.9909488631797	nonENG	2022.0054794520547	2022.0054794520547
302	2	2021.989210554333	2021.9856484120085	nonENG	2021.9972602739729	2022.035616438356
303	1	2022.054794520548	2022.0020578343792	nonENG	2022.054794520548	2022.054794520548
304	1	2021.9756857073733	2021.955046669031	nonENG	2022.027397260274	2022.027397260274
305	2	2022.020093703128	2021.9961264652763	nonENG	2022.021917808219	2022.024657534247
306	2	2022.012133613531	2021.9964491030607	nonENG	2022.027397260274	2022.0301369863012
307	1	2022.0328767123287	2022.009930490977	nonENG	2022.0328767123287	2022.0328767123287
308	1	2022.035616438356	2021.971486255432	nonENG	2022.035616438356	2022.035616438356
309	1	2021.967928218547	2021.9647735016508	nonENG	2022.0027397260276	2022.0027397260276
310	1	2022.027397260274	2021.9894419622144	nonENG	2022.027397260274	2022.027397260274
311	1	2022.027397260274	2022.0000705284176	nonENG	2022.027397260274	2022.027397260274
312	1	2022.0438356164384	2022.0036719659447	nonENG	2022.0438356164384	2022.0438356164384
313	4	2021.975901120828	2021.972443499233	nonENG	2022.0082191780823	2022.041095890411
314	1	2022.0247287050488	2021.991058501208	nonENG	2022.0438356164384	2022.0438356164384
315	1	2022.0794520547945	2021.9987375910464	nonENG	2022.0794520547945	2022.0794520547945
316	1	2022.0657534246573	2021.983172071092	nonENG	2022.0657534246573	2022.0657534246573
